[
[7/15, 2/5, 3/5, 4/15, 4/15, 8/15],
[23/30, 7/15, 9/20, 17/60, 1/12, 7/20],
[23/30, 31/60, 23/60, 7/30, 1/10, 9/20],
[23/30, 31/60, 29/60, 2/15, 1/5, 7/20],
[23/30, 8/15, 23/60, 13/60, 1/12, 29/60],
[23/30, 8/15, 5/12, 1/4, 1/20, 23/60],
[23/30, 7/12, 3/10, 1/4, 7/60, 11/30],
[23/30, 7/12, 2/5, 3/20, 13/60, 4/15],
[47/60, 3/20, 7/15, 13/30, 23/60, 9/20],
[47/60, 3/20, 29/60, 5/12, 2/5, 13/30],
[47/60, 4/15, 7/12, 7/30, 3/20, 3/5],
[47/60, 4/15, 19/30, 11/60, 1/5, 11/20],
[47/60, 23/60, 8/15, 7/30, 1/12, 31/60],
[47/60, 23/60, 3/5, 1/6, 1/20, 13/20],
[47/60, 23/60, 3/5, 1/6, 3/20, 9/20],
[47/60, 23/60, 41/60, 1/12, 2/15, 17/30],
[47/60, 9/20, 5/12, 1/4, 2/15, 13/30],
[47/60, 9/20, 29/60, 11/60, 1/5, 11/30],
[47/60, 8/15, 7/20, 7/30, 7/60, 2/5],
[47/60, 8/15, 13/30, 3/20, 1/5, 19/60],
[47/60, 37/60, 2/5, 1/6, 1/20, 7/20],
[47/60, 37/60, 13/30, 2/15, 1/12, 19/60],
[47/60, 41/60, 1/4, 13/60, 4/15, 1/10],
[47/60, 41/60, 19/60, 3/20, 1/5, 1/6],
[4/5, 3/20, 11/20, 1/3, 3/10, 11/20],
[4/5, 3/20, 17/30, 19/60, 19/60, 8/15],
[4/5, 1/6, 29/60, 23/60, 7/20, 29/60],
[4/5, 1/6, 11/20, 7/20, 19/60, 29/60],
[4/5, 1/6, 41/60, 13/60, 3/20, 41/60],
[4/5, 1/6, 43/60, 11/60, 11/60, 13/20],
[4/5, 11/60, 11/20, 11/30, 4/15, 29/60],
[4/5, 11/60, 17/30, 7/20, 17/60, 7/15],
[4/5, 19/60, 8/15, 13/60, 3/20, 17/30],
[4/5, 19/60, 7/12, 1/6, 1/5, 31/60],
[4/5, 7/20, 31/60, 7/30, 2/15, 31/60],
[4/5, 7/20, 17/30, 11/60, 11/60, 7/15],
[4/5, 11/30, 31/60, 11/60, 13/60, 9/20],
[4/5, 11/30, 7/12, 11/60, 1/20, 13/20],
[4/5, 11/30, 7/12, 11/60, 3/20, 9/20],
[4/5, 11/30, 41/60, 1/12, 3/20, 11/20],
[4/5, 31/60, 7/20, 7/30, 2/15, 23/60],
[4/5, 31/60, 5/12, 1/6, 1/5, 19/60],
[4/5, 11/20, 3/10, 1/4, 3/20, 1/3],
[4/5, 11/20, 11/30, 11/60, 13/60, 4/15],
[49/60, 3/20, 37/60, 17/60, 7/30, 3/5],
[49/60, 3/20, 19/30, 4/15, 1/4, 7/12],
[49/60, 7/20, 13/20, 7/60, 1/15, 19/30],
[49/60, 7/20, 2/3, 1/10, 1/12, 37/60],
[49/60, 7/15, 23/60, 7/30, 3/20, 2/5],
[49/60, 7/15, 13/30, 11/60, 1/5, 7/20],
[49/60, 29/60, 5/12, 1/4, 1/10, 1/3],
[49/60, 29/60, 9/20, 13/60, 2/15, 3/10],
[49/60, 7/12, 11/30, 1/5, 1/20, 7/20],
[49/60, 7/12, 13/30, 2/15, 7/60, 17/60],
[49/60, 13/20, 1/4, 13/60, 7/30, 2/15],
[49/60, 13/20, 17/60, 11/60, 1/5, 1/6],
[49/60, 13/20, 7/20, 7/60, 1/15, 11/30],
[49/60, 13/20, 23/60, 1/12, 1/10, 1/3],
[17/20, 3/20, 1/2, 23/60, 11/30, 7/15],
[17/20, 3/20, 8/15, 11/30, 19/60, 1/2],
[17/20, 17/60, 9/20, 19/60, 4/15, 13/30],
[17/20, 17/60, 7/15, 3/10, 17/60, 5/12],
[17/20, 3/10, 23/60, 11/30, 19/60, 11/30],
[17/20, 3/10, 2/5, 7/20, 1/3, 7/20],
[17/20, 19/60, 37/60, 3/20, 1/15, 19/30],
[17/20, 19/60, 2/3, 1/10, 7/60, 7/12],
[17/20, 9/20, 23/60, 13/60, 1/6, 2/5],
[17/20, 9/20, 5/12, 11/60, 1/5, 11/30],
[17/20, 11/20, 11/30, 1/5, 1/12, 19/60],
[17/20, 11/20, 2/5, 1/6, 7/60, 17/60],
[17/20, 37/60, 19/60, 3/20, 1/15, 11/30],
[17/20, 37/60, 23/60, 1/12, 2/15, 3/10],
[13/15, 3/10, 29/60, 1/4, 13/60, 29/60],
[13/15, 3/10, 11/20, 13/60, 11/60, 29/60],
[13/15, 3/10, 37/60, 3/20, 1/12, 37/60],
[13/15, 3/10, 13/20, 7/60, 7/60, 7/12],
[53/60, 17/60, 7/12, 11/60, 2/15, 17/30],
[53/60, 17/60, 3/5, 1/6, 3/20, 11/20],
[53/60, 7/12, 19/60, 3/20, 1/10, 1/3],
[53/60, 7/12, 7/20, 7/60, 2/15, 3/10],
[41/84, 5/12, 13/28, 31/84, 4/7, 3/14],
[41/84, 5/12, 25/42, 5/21, 37/84, 29/84],
[43/84, 5/12, 15/28, 31/84, 3/7, 3/14],
[43/84, 5/12, 47/84, 29/84, 17/42, 5/21],
[23/42, 8/21, 47/84, 29/84, 31/84, 23/84],
[47/84, 41/84, 37/84, 11/28, 1/14, 5/7],
[47/84, 41/84, 31/42, 2/21, 31/84, 5/12],
[4/7, 5/14, 15/28, 31/84, 31/84, 23/84],
[17/28, 37/84, 41/84, 37/84, 1/14, 2/7],
[17/28, 37/84, 4/7, 5/14, 13/84, 17/84],
[13/21, 19/42, 47/84, 19/84, 13/84, 43/84],
[13/21, 19/42, 61/84, 1/12, 25/84, 41/84],
[13/21, 23/42, 37/84, 19/84, 13/84, 41/84],
[13/21, 23/42, 43/84, 25/84, 1/12, 23/84],
[53/84, 23/84, 19/42, 8/21, 37/84, 29/84],
[53/84, 23/84, 13/28, 31/84, 3/7, 5/14],
[53/84, 5/12, 41/84, 37/84, 2/21, 11/42],
[53/84, 5/12, 23/42, 8/21, 13/84, 17/84],
[53/84, 37/84, 41/84, 9/28, 1/14, 5/7],
[53/84, 37/84, 61/84, 1/12, 13/42, 10/21],
[9/14, 3/7, 15/28, 25/84, 5/84, 59/84],
[9/14, 3/7, 17/28, 19/84, 11/84, 41/84],
[9/14, 4/7, 13/28, 25/84, 5/84, 25/84],
[9/14, 4/7, 43/84, 11/84, 19/84, 11/28],
[55/84, 5/12, 11/21, 13/42, 5/84, 59/84],
[55/84, 5/12, 31/42, 2/21, 23/84, 41/84],
[19/28, 41/84, 37/84, 31/84, 1/14, 2/7],
[19/28, 41/84, 43/84, 25/84, 1/7, 3/14],
[29/42, 10/21, 31/84, 25/84, 13/84, 41/84],
[29/42, 10/21, 37/84, 31/84, 1/12, 23/84],
[29/42, 11/21, 5/12, 29/84, 5/84, 25/84],
[29/42, 11/21, 43/84, 11/84, 23/84, 29/84],
[59/84, 31/84, 10/21, 13/42, 13/84, 43/84],
[59/84, 31/84, 4/7, 3/14, 1/4, 5/12],
[59/84, 31/84, 25/42, 5/21, 5/84, 61/84],
[59/84, 31/84, 3/4, 1/12, 3/14, 4/7],
[59/84, 53/84, 17/42, 5/21, 5/84, 23/84],
[59/84, 53/84, 3/7, 3/14, 1/12, 1/4],
[5/7, 5/14, 47/84, 19/84, 1/4, 5/12],
[5/7, 5/14, 7/12, 1/4, 5/84, 61/84],
[5/7, 5/14, 17/28, 19/84, 17/84, 5/12],
[5/7, 5/14, 3/4, 1/12, 19/84, 47/84],
[61/84, 29/84, 11/21, 13/42, 11/84, 41/84],
[61/84, 29/84, 25/42, 5/21, 17/84, 5/12],
[61/84, 41/84, 5/12, 29/84, 2/21, 11/42],
[61/84, 41/84, 13/28, 25/84, 1/7, 3/14],
[3/4, 5/12, 31/84, 25/84, 3/14, 3/7],
[3/4, 5/12, 37/84, 19/84, 2/7, 5/14],
[3/4, 7/12, 5/14, 2/7, 5/84, 23/84],
[3/4, 7/12, 3/7, 3/14, 11/84, 17/84],
[65/84, 25/84, 19/28, 13/84, 1/14, 5/7],
[65/84, 25/84, 31/42, 2/21, 11/84, 55/84],
[65/84, 47/84, 5/14, 2/7, 1/12, 1/4],
[65/84, 47/84, 17/42, 5/21, 11/84, 17/84],
[65/84, 59/84, 9/28, 13/84, 1/14, 2/7],
[65/84, 59/84, 29/84, 11/84, 2/21, 11/42],
[67/84, 23/84, 55/84, 5/28, 1/14, 5/7],
[67/84, 23/84, 31/42, 2/21, 13/84, 53/84],
[67/84, 5/12, 5/14, 2/7, 19/84, 11/28],
[67/84, 5/12, 17/42, 5/21, 23/84, 29/84],
[23/28, 55/84, 23/84, 17/84, 1/14, 2/7],
[23/28, 55/84, 29/84, 11/84, 1/7, 3/14],
[71/84, 17/84, 37/84, 11/28, 5/14, 3/7],
[71/84, 17/84, 19/42, 8/21, 31/84, 5/12],
[71/84, 53/84, 23/84, 17/84, 2/21, 11/42],
[71/84, 53/84, 9/28, 13/84, 1/7, 3/14],
[6/7, 3/14, 41/84, 9/28, 25/84, 41/84],
[6/7, 3/14, 15/28, 25/84, 23/84, 41/84],
[6/7, 3/14, 55/84, 5/28, 11/84, 55/84],
[6/7, 3/14, 19/28, 13/84, 13/84, 53/84],
[73/84, 17/84, 7/12, 1/4, 3/14, 4/7],
[73/84, 17/84, 25/42, 5/21, 19/84, 47/84],
[49/90, 16/45, 26/45, 5/18, 8/45, 59/90],
[49/90, 16/45, 2/3, 17/90, 4/15, 17/30],
[3/5, 3/10, 47/90, 1/3, 8/45, 59/90],
[3/5, 3/10, 2/3, 17/90, 29/90, 23/45],
[11/18, 22/45, 43/90, 14/45, 7/90, 28/45],
[11/18, 22/45, 2/3, 11/90, 4/15, 13/30],
[11/18, 23/45, 47/90, 14/45, 7/90, 17/45],
[11/18, 23/45, 17/30, 4/15, 11/90, 1/3],
[28/45, 41/90, 26/45, 29/90, 1/18, 16/45],
[28/45, 41/90, 3/5, 3/10, 7/90, 1/3],
[28/45, 49/90, 19/45, 29/90, 1/18, 29/45],
[28/45, 49/90, 2/3, 7/90, 3/10, 2/5],
[19/30, 7/15, 41/90, 1/3, 7/90, 28/45],
[19/30, 7/15, 2/3, 11/90, 13/45, 37/90],
[19/30, 8/15, 37/90, 1/3, 1/18, 29/45],
[19/30, 8/15, 2/3, 7/90, 14/45, 7/18],
[29/45, 49/90, 19/45, 5/18, 31/90, 8/45],
[29/45, 49/90, 13/30, 4/15, 1/3, 17/90],
[59/90, 1/3, 28/45, 5/18, 1/15, 23/30],
[59/90, 1/3, 4/5, 1/10, 11/45, 53/90],
[2/3, 29/90, 11/18, 13/45, 1/15, 23/30],
[2/3, 29/90, 4/5, 1/10, 23/90, 26/45],
[2/3, 37/90, 8/15, 11/30, 1/18, 16/45],
[2/3, 37/90, 3/5, 3/10, 11/90, 13/45],
[2/3, 41/90, 7/15, 11/30, 7/90, 17/45],
[2/3, 41/90, 17/30, 4/15, 8/45, 5/18],
[2/3, 47/90, 2/5, 3/10, 31/90, 8/45],
[2/3, 47/90, 13/30, 4/15, 14/45, 19/90],
[2/3, 59/90, 17/45, 5/18, 7/30, 1/15],
[2/3, 59/90, 37/90, 11/45, 1/5, 1/10],
[61/90, 23/45, 2/5, 3/10, 1/3, 17/90],
[61/90, 23/45, 19/45, 5/18, 14/45, 19/90],
[31/45, 19/90, 47/90, 1/3, 4/15, 17/30],
[31/45, 19/90, 26/45, 5/18, 29/90, 23/45],
[31/45, 7/18, 8/15, 11/30, 7/90, 1/3],
[31/45, 7/18, 26/45, 29/90, 11/90, 13/45],
[32/45, 37/90, 7/15, 11/30, 11/90, 1/3],
[32/45, 37/90, 47/90, 14/45, 8/45, 5/18],
[32/45, 11/18, 1/3, 29/90, 7/30, 1/15],
[32/45, 11/18, 37/90, 11/45, 7/45, 13/90],
[67/90, 26/45, 1/3, 29/90, 1/5, 1/10],
[67/90, 26/45, 17/45, 5/18, 7/45, 13/90],
[37/45, 5/18, 41/90, 1/3, 4/15, 13/30],
[37/45, 5/18, 43/90, 14/45, 13/45, 37/90],
[38/45, 13/90, 11/18, 13/45, 11/45, 53/90],
[38/45, 13/90, 28/45, 5/18, 23/90, 26/45],
[79/90, 13/45, 37/90, 1/3, 3/10, 2/5],
[79/90, 13/45, 19/45, 29/90, 14/45, 7/18],
[9/20, 9/20, 21/40, 37/120, 29/120, 13/24],
[9/20, 9/20, 21/40, 37/120, 13/24, 29/120],
[59/120, 59/120, 11/24, 53/120, 1/15, 23/30],
[59/120, 59/120, 11/24, 53/120, 23/30, 1/15],
[59/120, 59/120, 4/5, 1/10, 49/120, 17/40],
[59/120, 59/120, 4/5, 1/10, 17/40, 49/120],
[61/120, 59/120, 13/24, 53/120, 7/30, 1/15],
[61/120, 59/120, 23/40, 49/120, 1/5, 1/10],
[11/20, 9/20, 19/40, 37/120, 11/24, 29/120],
[11/20, 9/20, 23/40, 31/120, 23/120, 59/120],
[11/20, 9/20, 23/40, 49/120, 19/120, 17/120],
[11/20, 9/20, 19/24, 11/120, 43/120, 19/40],
[11/20, 11/20, 61/120, 23/120, 31/120, 17/40],
[11/20, 11/20, 61/120, 23/120, 17/40, 31/120],
[11/20, 11/20, 21/40, 43/120, 11/120, 5/24],
[11/20, 11/20, 21/40, 43/120, 5/24, 11/120],
[67/120, 41/120, 5/12, 5/12, 29/120, 13/24],
[67/120, 41/120, 5/12, 5/12, 13/24, 29/120],
[67/120, 41/120, 17/30, 4/15, 47/120, 47/120],
[67/120, 53/120, 59/120, 47/120, 1/15, 23/30],
[67/120, 53/120, 19/24, 11/120, 11/30, 7/15],
[7/12, 5/12, 53/120, 41/120, 11/24, 29/120],
[7/12, 5/12, 13/24, 43/120, 7/120, 91/120],
[7/12, 5/12, 13/24, 53/120, 19/120, 17/120],
[7/12, 5/12, 77/120, 31/120, 19/120, 11/24],
[7/12, 7/12, 11/24, 43/120, 7/120, 29/120],
[7/12, 7/12, 11/24, 43/120, 29/120, 7/120],
[7/12, 7/12, 13/24, 19/120, 31/120, 43/120],
[7/12, 7/12, 13/24, 19/120, 43/120, 31/120],
[71/120, 49/120, 8/15, 11/30, 7/120, 91/120],
[71/120, 49/120, 4/5, 1/10, 13/40, 59/120],
[3/5, 3/10, 21/40, 37/120, 47/120, 47/120],
[73/120, 47/120, 53/120, 41/120, 13/30, 4/15],
[73/120, 47/120, 19/40, 37/120, 2/5, 3/10],
[73/120, 59/120, 53/120, 53/120, 1/15, 7/30],
[73/120, 59/120, 53/120, 53/120, 7/30, 1/15],
[73/120, 59/120, 21/40, 43/120, 3/20, 3/20],
[19/30, 7/15, 53/120, 53/120, 11/120, 5/24],
[19/30, 7/15, 53/120, 53/120, 5/24, 11/120],
[19/30, 7/15, 61/120, 23/120, 41/120, 41/120],
[19/30, 8/15, 49/120, 49/120, 7/120, 29/120],
[19/30, 8/15, 49/120, 49/120, 29/120, 7/120],
[19/30, 8/15, 13/24, 19/120, 37/120, 37/120],
[77/120, 43/120, 3/5, 3/10, 7/120, 31/40],
[77/120, 43/120, 97/120, 11/120, 4/15, 17/30],
[77/120, 77/120, 2/5, 3/10, 7/120, 9/40],
[77/120, 77/120, 2/5, 3/10, 9/40, 7/120],
[77/120, 77/120, 13/30, 4/15, 11/120, 23/120],
[77/120, 77/120, 13/30, 4/15, 23/120, 11/120],
[13/20, 7/20, 23/40, 31/120, 7/24, 47/120],
[13/20, 7/20, 71/120, 37/120, 7/120, 31/40],
[13/20, 7/20, 77/120, 31/120, 9/40, 47/120],
[13/20, 7/20, 97/120, 11/120, 11/40, 67/120],
[79/120, 41/120, 7/15, 11/30, 23/120, 59/120],
[79/120, 41/120, 17/30, 4/15, 7/24, 47/120],
[27/40, 59/120, 49/120, 49/120, 1/10, 1/5],
[27/40, 59/120, 49/120, 49/120, 1/5, 1/10],
[27/40, 59/120, 11/24, 43/120, 3/20, 3/20],
[83/120, 37/120, 8/15, 11/30, 19/120, 11/24],
[83/120, 37/120, 3/5, 3/10, 9/40, 47/120],
[83/120, 71/120, 7/20, 7/20, 7/120, 9/40],
[83/120, 71/120, 7/20, 7/20, 9/40, 7/120],
[83/120, 71/120, 13/30, 4/15, 17/120, 17/120],
[17/24, 47/120, 7/20, 7/20, 31/120, 17/40],
[17/24, 47/120, 7/20, 7/20, 17/40, 31/120],
[17/24, 47/120, 13/30, 4/15, 41/120, 41/120],
[29/40, 67/120, 7/20, 7/20, 11/120, 23/120],
[29/40, 67/120, 7/20, 7/20, 23/120, 11/120],
[29/40, 67/120, 2/5, 3/10, 17/120, 17/120],
[89/120, 31/120, 17/24, 23/120, 1/15, 23/30],
[89/120, 31/120, 4/5, 1/10, 19/120, 27/40],
[89/120, 89/120, 7/24, 23/120, 1/15, 7/30],
[89/120, 89/120, 7/24, 23/120, 7/30, 1/15],
[89/120, 89/120, 13/40, 19/120, 1/10, 1/5],
[89/120, 89/120, 13/40, 19/120, 1/5, 1/10],
[91/120, 29/120, 83/120, 5/24, 1/15, 23/30],
[91/120, 29/120, 4/5, 1/10, 7/40, 79/120],
[31/40, 47/120, 7/20, 7/20, 31/120, 43/120],
[31/40, 47/120, 7/20, 7/20, 43/120, 31/120],
[31/40, 47/120, 2/5, 3/10, 37/120, 37/120],
[19/24, 83/120, 29/120, 29/120, 1/15, 7/30],
[19/24, 83/120, 29/120, 29/120, 7/30, 1/15],
[19/24, 83/120, 13/40, 19/120, 3/20, 3/20],
[33/40, 79/120, 29/120, 29/120, 1/10, 1/5],
[33/40, 79/120, 29/120, 29/120, 1/5, 1/10],
[33/40, 79/120, 7/24, 23/120, 3/20, 3/20],
[101/120, 17/120, 9/20, 9/20, 49/120, 17/40],
[101/120, 17/120, 9/20, 9/20, 17/40, 49/120],
[101/120, 17/120, 11/24, 53/120, 5/12, 5/12],
[17/20, 3/20, 59/120, 47/120, 43/120, 19/40],
[17/20, 3/20, 13/24, 43/120, 13/40, 59/120],
[17/20, 3/20, 83/120, 5/24, 19/120, 27/40],
[17/20, 3/20, 17/24, 23/120, 7/40, 79/120],
[103/120, 17/120, 71/120, 37/120, 4/15, 17/30],
[103/120, 17/120, 3/5, 3/10, 11/40, 67/120],
[109/210, 47/105, 39/70, 12/35, 29/210, 53/105],
[109/210, 47/105, 19/30, 4/15, 3/14, 3/7],
[58/105, 109/210, 31/70, 12/35, 52/105, 29/210],
[58/105, 109/210, 4/7, 3/14, 11/30, 4/15],
[41/70, 17/35, 43/105, 79/210, 52/105, 29/210],
[41/70, 17/35, 4/7, 3/14, 1/3, 3/10],
[62/105, 79/210, 17/35, 29/70, 29/210, 53/105],
[62/105, 79/210, 19/30, 4/15, 2/7, 5/14],
[137/210, 44/105, 4/7, 3/14, 2/15, 17/30],
[137/210, 44/105, 64/105, 37/210, 6/35, 37/70],
[137/210, 61/105, 3/7, 3/14, 2/15, 13/30],
[137/210, 61/105, 33/70, 6/35, 37/210, 41/105],
[139/210, 32/105, 68/105, 59/210, 2/35, 59/70],
[139/210, 32/105, 6/7, 1/14, 4/15, 19/30],
[2/3, 3/10, 17/35, 29/70, 3/14, 3/7],
[2/3, 3/10, 39/70, 12/35, 2/7, 5/14],
[2/3, 3/10, 9/14, 2/7, 2/35, 59/70],
[2/3, 3/10, 6/7, 1/14, 19/70, 22/35],
[24/35, 27/70, 4/7, 3/14, 1/10, 2/3],
[24/35, 27/70, 71/105, 23/210, 43/210, 59/105],
[24/35, 43/70, 3/7, 3/14, 1/10, 1/3],
[24/35, 43/70, 46/105, 43/210, 23/210, 34/105],
[73/105, 139/210, 37/105, 59/210, 11/70, 2/35],
[73/105, 139/210, 11/30, 4/15, 1/7, 1/14],
[5/7, 5/14, 43/105, 79/210, 11/30, 4/15],
[5/7, 5/14, 31/70, 12/35, 1/3, 3/10],
[5/7, 5/14, 107/210, 29/105, 2/15, 17/30],
[5/7, 5/14, 19/35, 17/70, 1/10, 2/3],
[5/7, 5/14, 64/105, 37/210, 7/30, 7/15],
[5/7, 5/14, 71/105, 23/210, 7/30, 8/15],
[5/7, 9/14, 1/3, 3/10, 11/70, 2/35],
[5/7, 9/14, 11/30, 4/15, 13/105, 19/210],
[76/105, 107/210, 5/14, 2/7, 2/15, 13/30],
[76/105, 107/210, 33/70, 6/35, 26/105, 67/210],
[51/70, 22/35, 1/3, 3/10, 1/7, 1/14],
[51/70, 22/35, 37/105, 59/210, 13/105, 19/210],
[79/105, 67/210, 107/210, 29/105, 6/35, 37/70],
[79/105, 67/210, 4/7, 3/14, 7/30, 7/15],
[53/70, 19/35, 5/14, 2/7, 1/10, 1/3],
[53/70, 19/35, 46/105, 43/210, 19/105, 53/210],
[23/30, 7/15, 5/14, 2/7, 37/210, 41/105],
[23/30, 7/15, 3/7, 3/14, 26/105, 67/210],
[23/30, 8/15, 5/14, 2/7, 23/210, 34/105],
[23/30, 8/15, 3/7, 3/14, 19/105, 53/210],
[86/105, 53/210, 19/35, 17/70, 43/210, 59/105],
[86/105, 53/210, 4/7, 3/14, 7/30, 8/15],
[92/105, 19/210, 9/14, 2/7, 4/15, 19/30],
[92/105, 19/210, 68/105, 59/210, 19/70, 22/35]
]
